PL51WT020,,,
,,,
Pin,Type,Name,Side
1,tristate,ANTB,left
2,tristate,ANT,left
3,power_in,VSS,left
4,tristate,PKT,left
5,tristate,PWM2/TK8/AD0/KB0*/P2.0,left
6,tristate,PWM3/TK9/AD1/KB1*/P2.1,left
7,tristate,PDA/RSTB/P0.5,left
8,clk,XIN/SCL/SCK/RXD/P0.4,left
9,tristate,P0.3/TK15*/T2CPO/TXD/MISO/SDA/XOUT1,right
10,tristate,P0.3/TL14*/INT1B*/T2EX/SCSB/CLKOUT,right
11,tristate,P0.1/TK13*/INT0B*/T1/PWM1*/PCL,right
12,tristate,P0.0/TK12*/T0/PWM0*/MOSI,right
13,power_in,VCC,right
14,power_out,VDDO,right
15,clk,XOUT,right
16,clk,XIN,right
